event_number,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16,sub-17
30,0.4410497377539916,0.6629690516822873,0.3577396008999578,0.4884583638118275,0.2746864008688295,0.3536190903191616,0.223558885,0.024577191,0,0.4079691915819001,0.5345771782096196,0.5184009558578052,0.6361438018076734,0.5411823271280676,0.5793302989305091,0.4770590870874314,0.5879816744237464
31,0,0,0,0,0.2666904362851717,0,0.3920631968964747,0.5877312563173314,0.5458679124904314,0.3889555828806363,0.5016554871401929,0.415801652,0.5036824447042032,0.3841816620602039,0.4966611462311847,0.4988041104064102,0.4499487782531512
32,0.3613202063515916,0,0,0,0,0.4510321361457367,0,0.4758802435590448,0.2101673517454056,0,0.222920068,0.3585785422291433,0.6379969345844794,0,0.5068620144627107,0,0.6056815270292203
33,0,0,0.4783792649878616,0.3569819816917775,0,0.5228373103726508,0.4951987317182248,0,0,0.4857665073788292,0,0,0.6325934657462878,0.4236214759830318,0.60364722,0,0.5928365347644344
34,0.5703450826037747,0.5022658340631027,0.6205370209895039,0.3677293665247971,0.3371497489406616,0.2251385875793652,0,0.5458693700069331,0.5805677687283708,0.4845276969645569,0.4620144036830906,0.5918094532543904,0.6299962805818672,0.6543818652298172,0.3886751011474405,0.4709714076779468,0.530904179
35,0.3789810435986591,0.3503294474830815,0.4936302393962485,0.4078533752960683,0.3685163833793364,0.4079186596457694,0,0.4041274615627244,0.4008613757488131,0.4209118844997404,0.34421329,0.4000409337181005,0.451272409,0.3648728713774974,0.4228544373654059,0.4257516039519743,0.4698640324037378
36,0.5931274361542795,0.5800357597301696,0.7314942314644866,0.535364512,0.6743927129892588,0.6276330483301665,0.4761686484660566,0.6325651984249809,0.7054342686418611,0.6801892935237366,0.6071914233042297,0.699326688,0.6622860198276078,0.6116017863993671,0.5290560448548457,0.7282030880033763,0.7631671809333324
37,0.452860026,0.4983874021016831,0.371278803,0.4329677879737054,0.2900759122269823,0.4424943490117755,0.1331736381543162,0.3751664177595753,0.5151388121269589,0.4637394009012887,0.3822457169258894,0.4964028304380217,0.4570480798343983,0.4250672857893768,0.3679394558552163,0.4303161108141916,0.5083403628200124
38,0.3516750325290494,0.4082708413252114,0.507537035,0.4109219792449298,0.3449749984499573,0.3451993116023091,0.1968860384884409,0.4322732510709863,0.4389135821207821,0.3555813640301131,0.3809760646999453,0.5225576507761701,0.4797913956322124,0.4815770127399557,0.4277220861512094,0.201651227,0.5059059022309175
39,0.3475050851543073,0.2794795407908793,0,0.1172644216867748,0,0.1642319268065383,0.078288846,0.3375893238823212,0.2738222393013411,0.3192794475785471,0.077775007,0.2966074280859949,0.2464595459536033,0.3652730565797122,0.3561256472649667,0.3432710631151942,0.4305506903755342
40,0.3003517193619294,0,0.2501084088581787,0.3532277218257931,0.1671259043554234,0.4226077605931099,0.056734478,0.3079991480857936,0,0.5450702254989844,0.3525166415526812,0,0.3430039820822145,0.3769367165438707,0.3845966369056197,0.3267402875575998,0.5246594654309439
41,0.3081538709031501,0.2690755811869349,0.1174897147728439,0,0,0,0,0,0.3198295353401793,0.2446939323607416,0.210888252,0.2634929272590698,0.276932724,0,0,0.3430799633272488,0.3882805185049631
42,0,0,0.3572393664494067,0,0.3068065343429723,0.4520469406699099,0,0.4004071922828676,0,0.3160024985148123,0.3875750902652416,0.3855967418019654,0.3310381847920686,0.3379449503806203,0,0.38270618,0
43,0.4208170112742538,0,0.3299553004448146,0.3913549516387313,0.4297155055267675,0.1749244989327197,0,0.4291004006503548,0,0.4663014181478782,0,0,0.26704758,0.3834131236333458,0,0.5035389723280126,0.4683858140854048
44,0.4757204072087299,0.6223101263852578,0.5076790341451375,0.4580956816409003,0.4072768838052601,0.441272011,0,0.5558510599918594,0.4081348233758392,0.2802403678269305,0.4238227924472081,0.6402771233555637,0.4813091333741148,0.5698832158211069,0.5858350927535732,0.3908223712948772,0.6439085573479145
45,0.5086656612228897,0.5578233587819631,0.4038038374788374,0.3662936160846964,0.2916053115786874,0.5227429712159474,0.4050300480326358,0.5256647509197574,0.5711033064521936,0.4447424609054228,0.3849691492241356,0.5799474203619559,0.5716693735165151,0.4197596515424275,0.5940745357167251,0.3893037177359947,0.5591424962369145
46,0,0,0.548784137,0,0,0.6222285851501226,0.6077284651218969,0.653117585,0,0,0,0,0.6314317421035661,0.6212544204466509,0.6823253954053097,0.5472240576257342,0.6614412621505734
47,0,0,0.4370427751473109,0.1788220512720731,0,0.2330209227218335,0,0.4746873162404244,0.4413314057810258,0,0,0,0,0.4891489218933118,0,0,0.5314417056024673
48,0.597861207,0,0.3505469128587213,0,0.3137549326526537,0.6312793544716002,0.4758095887184709,0.6231036165571929,0.6299256924912227,0.4644518156462703,0.5888898712465152,0.6685098994658087,0.6696070077418912,0.5044981891601391,0.5863454250837212,0.498837567,0.5615199799431148
49,0.5664274666154993,0.6218813851588463,0.5102500466104642,0,0.620553216,0.54736469,0.4762436702677463,0.5115113560703497,0,0.4088470399194357,0.6049691503326283,0,0.4642393809252711,0.7130053893422207,0.4709643950031167,0.44548134,0.7362477000647906
50,0.5489941007012596,0,0,0,0.4357373933611353,0.5238628178384878,0.5212574677920754,0.6825327723536784,0.3369938234671311,0.3248747422208966,0.6117381416218302,0.5929808266087845,0.6749044825166757,0.5487567560506592,0.487726372,0.5810226590300559,0.4626011252008902
